dataset,sweep,lr,w1,w2,lambda_temp,run,seed,acc,nmi,ari,macro_f1,micro_f1,macro_precision,micro_precision,macro_recall,micro_recall
hhar,w1,0.001,0.0,0.0,0.1,1,202502,0.8140596174385862,0.8359868922311581,0.7442207824302847,0.7798454446421171,0.8140596174385862,0.889384579775914,0.8140596174385862,0.8147351919649465,0.8140596174385862
hhar,w1,0.001,0.0,0.0,0.1,2,202503,0.879794154772308,0.806397195956995,0.7647620742506578,0.8784345082591541,0.879794154772308,0.886100297241554,0.879794154772308,0.879379309913923,0.879794154772308
hhar,w1,0.001,0.0,0.0,0.1,3,202504,0.8768812506068551,0.8100637871714933,0.7625205991457007,0.8771591612588022,0.8768812506068551,0.8804934927333153,0.8768812506068551,0.8770070746371132,0.8768812506068551
hhar,w1,0.001,0.0,0.0,0.1,4,202505,0.880765122827459,0.8130639962059726,0.7677251116961569,0.881790700612162,0.880765122827459,0.8838260987845312,0.880765122827459,0.8813437804165695,0.880765122827459
hhar,w1,0.001,0.0,0.0,0.1,5,202506,0.8766870569958248,0.8119385637186598,0.764259464221972,0.8770312990050494,0.8766870569958248,0.8830162373920821,0.8766870569958248,0.8773424010791101,0.8766870569958248
hhar,w1,0.001,0.0,0.0,0.1,6,202507,0.8761044761627342,0.8056261372888429,0.7598624732590649,0.8742913171088796,0.8761044761627342,0.8833289189130165,0.8761044761627342,0.8743039152025722,0.8761044761627342
hhar,w1,0.001,0.0,0.0,0.1,7,202508,0.8842606078260026,0.813768848730921,0.772182847356105,0.8843743116547663,0.8842606078260026,0.8887837446652241,0.8842606078260026,0.8842867935807665,0.8842606078260026
hhar,w1,0.001,0.0,0.0,0.1,8,202509,0.8816389940770949,0.8147620357047333,0.7698693048116538,0.8812712577395296,0.8816389940770949,0.8880481863605522,0.8816389940770949,0.8812458271015959,0.8816389940770949
hhar,w1,0.001,0.0,0.0,0.1,9,202510,0.8801825419943684,0.8182989073231748,0.7689262092718697,0.8783715973230021,0.8801825419943684,0.8909190364732057,0.8801825419943684,0.8787106621569477,0.8801825419943684
hhar,w1,0.001,0.0,0.0,0.1,10,202511,0.8822215749101855,0.8139481446482316,0.7700750557102867,0.8821606545829338,0.8822215749101855,0.8873094056654179,0.8822215749101855,0.8819701840859929,0.8822215749101855
hhar,w1,0.001,0.05,0.0,0.1,1,202502,0.7994950966113215,0.8257800979962304,0.7328424554864457,0.74506802474954,0.7994950966113215,0.7128864544918995,0.7994950966113215,0.8010929807232694,0.7994950966113215
hhar,w1,0.001,0.05,0.0,0.1,2,202503,0.7949315467521119,0.8112761044022891,0.7241939078870364,0.7396567698463595,0.7949315467521119,0.7069672131148441,0.7949315467521119,0.7961645713509872,0.7949315467521119
hhar,w1,0.001,0.05,0.0,0.1,3,202504,0.8793086707447325,0.8150429320413817,0.7660976964135989,0.8799683842159415,0.8793086707447325,0.8845188770153358,0.8793086707447325,0.8798549889057025,0.8793086707447325
