dataset,sweep,lr,w1,w2,lambda_temp,run,seed,acc,nmi,ari,macro_f1,micro_f1,macro_precision,micro_precision,macro_recall,micro_recall
hhar,w1,0.001,0.0,0.0,0.1,1,202502,0.8488202738129915,0.7957634779794679,0.7339771591931574,0.8489137682486668,0.8488202738129915,0.8562838454140723,0.8488202738129915,0.8503303877168289,0.8488202738129915
hhar,w1,0.001,0.0,0.0,0.1,2,202503,0.8909602874065443,0.8230119841302588,0.7826938807652368,0.8908886343351949,0.8909602874065443,0.8958376149215135,0.8909602874065443,0.890378259268347,0.8909602874065443
hhar,w1,0.001,0.0,0.0,0.1,3,202504,0.8293038159044568,0.8338458434233461,0.7443738932800213,0.8063789894962997,0.8293038159044568,0.8932549855166433,0.8293038159044568,0.829024541973323,0.8293038159044568
hhar,w1,0.001,0.0,0.0,0.1,4,202505,0.8805709292164288,0.8110551994049576,0.7672297103931968,0.8797459240406699,0.8805709292164288,0.8872427133735091,0.8805709292164288,0.8797948210260728,0.8805709292164288
hhar,w1,0.001,0.0,0.0,0.1,5,202506,0.872900281580736,0.8155031533709243,0.7611739063822851,0.8748611376668496,0.872900281580736,0.8780515163668463,0.872900281580736,0.8744899954262682,0.872900281580736
hhar,w1,0.001,0.0,0.0,0.1,6,202507,0.8813477036605496,0.8123597504699612,0.7681679787808672,0.8815317593729161,0.8813477036605496,0.8858374490279447,0.8813477036605496,0.8810877638210185,0.8813477036605496
hhar,w1,0.001,0.0,0.0,0.1,7,202508,0.8769783474123701,0.8079834488052459,0.7616773163737679,0.877458986563413,0.8769783474123701,0.880850857957538,0.8769783474123701,0.8770239917249439,0.8769783474123701
hhar,w1,0.001,0.0,0.0,0.1,8,202509,0.8939702883775124,0.8211526011716795,0.7858295874321488,0.8934338979220157,0.8939702883775124,0.8971542763080178,0.8939702883775124,0.8928324690928946,0.8939702883775124
hhar,w1,0.001,0.0,0.0,0.1,9,202510,0.8126031653558597,0.8315795810959463,0.7414802908062638,0.7776854496917176,0.8126031653558597,0.8874072061646482,0.8126031653558597,0.8131190982855186,0.8126031653558597
hhar,w1,0.001,0.0,0.0,0.1,10,202511,0.8867851247693951,0.8258190260397708,0.7791793102536235,0.8859138888800823,0.8867851247693951,0.8964607274892948,0.8867851247693951,0.8859962392757078,0.8867851247693951
